Applications,Identifier,Installed Version,Latest Version
A Better Finder Rename 12,net.publicspace.abfr12,12.04,12.04
Amphetamine,com.if.Amphetamine,5.3.2 (9416),5.3.2
Anybox,cc.anybox.Anybox,2.2.1 (212),2.2.1
App Cleaner 8,com.nektony.App-Cleaner-SIII,8.2.6 (1973),8.2.6 (1973)
Bartender 5,com.surteesstudios.Bartender,5.0.49 (50049),5.0.49 (50049)
BetterDisplay,pro.betterdisplay.BetterDisplay,2.2.2 (26650),2.2.2 (26650)
Binary Ninja,com.vector35.binaryninja,3.5.4526,3.5.4542
Boop,com.okatbest.boop,1.4.0 (14),1.4.0 (14)
BusyCal,com.busymac.busycal3,2024.1.1 (202410114),2024.1.1 (202410114)
DEVONthink 3,com.devon-technologies.think3,3.9.4,3.9.4
DaisyDisk,com.daisydiskapp.DaisyDiskStandAlone,4.26,4.26
Discord,com.hnc.Discord,0.0.293,0.0.293
Find Any File,org.tempel.findanyfile,2.4.1 (355),2.4.1 (355)
Fork,com.DanPristupov.Fork,2.39,2.39
ForkLift,com.binarynights.ForkLift,4.0.7 (431),4.0.7 (431)
Goodnotes,com.goodnotesapp.x,6.3.1 (2553816.282419798),6.3.1
HazeOver,com.pointum.hazeover,1.9.3 (1126),1.9.3
Hazel,com.noodlesoft.Hazel,5.3.2 (2379),5.3.2
Hovrly,com.treasy.hovrly,2.4.5,2.4.5
Infuse,com.firecore.infuse,7.6.7 (7.6.4713),7.6.7
Keka,com.aone.keka,1.3.7 (5302),
LaunchPadder,com.molayc.LaunchPadder,1.4 (64),1.4 (64)
Little Snitch,at.obdev.littlesnitch,5.7.3 (6299),5.7.3 (6299)
Lookupper,com.vehov.LookUpAnyApp,1.3.1 (17),1.3.1
Maccy,org.p0deje.Maccy,0.29.4 (28),0.29.4 (28)
MetaImage,com.jeremyvizzini.metaimage-paddle,2.6.3 (6296),2.6.3 (6296)
Movist Pro,com.movist.MovistPro,2.11.3 (218),2.11.3 (218)
News Explorer,betamagic.News-Explorer,1.20.4 (249),1.20.4
Notion,notion.id,3.1.1,3.1.1
Numi,com.dmitrynikolaev.numi,3.32 (721),3.32 (721)
PDF Expert,com.readdle.PDFExpert-Mac,3.9 (1013),3.9 (1013)
Pictogram,com.NeilSardesai.Pictogram,0.1 (13),0.1 (13)
Safari,com.apple.Safari,17.3.1 (19617.2.4.11.12),
Santa,com.google.santa,2024.1 (2024.1.601201480),2024.1.601201480
Sideloadly,io.sideloadly.sideloadly,0.50.1,0.50.1
Sloth,org.sveinbjorn.Sloth,3.2 (300),3.2 (300)
SoundSource,com.rogueamoeba.soundsource,5.6.3,5.6.3
Suspicious Package,com.mothersruin.SuspiciousPackageApp,4.3.3 (1065.5),4.3.3 (1065.5)
Swish,co.highlyopinionated.swish,1.10.3 (63),1.10.3 (63)
TG Pro,com.tunabellysoftware.tgpro,2.89 (15356),2.89 (15356)
TRex,com.ameba.TRex,1.6.0 (101),1.6.0 (101)
TablePlus,com.tinyapp.TablePlus,5.8.6 (534),5.8.6 (534)
Telegram,ru.keepcoder.Telegram,10.7.1 (259074),10.7.1 (259074)
Thorium,io.github.edrlab.thorium,2.3.0,2.3.0
VeraCrypt,org.idrix.VeraCrypt,1.26.7,1.26.7
Visual Studio Code,com.microsoft.VSCode,1.86.1,1.86.1
WeChat,com.tencent.xinWeChat,3.8.6.18 (28078),3.8.6.18 (28078)
WhatsApp,net.whatsapp.WhatsApp,24.2.76 (562250610),24.2.76 (562250610)
Xcode,com.apple.dt.Xcode,15.2 (22503),15.2
anki,net.ankiweb.dtop,23.12.1,23.12.1
espanso,com.federicoterzi.espanso,2.2.1,2.2.1
floorp,org.mozilla.floorp,115.7.0 (11524.2.2),115.7.0 (11524.2.2)
kitty,net.kovidgoyal.kitty,0.32.1,0.32.1
qbittorrent,org.qbittorrent.qBittorrent,4.6.3,4.6.3
rclone-browser,Rclone Browser,kMDItemVersion = (null),
rcmd,com.lowtechguys.rcmd,2.4.0 (180),2.4.0
