Applications,Identifier,URL
010 Editor,com.SweetScape.010Editor,https://macupdater-backend.com/files/casks_manual/010-editor.rb
A Better Finder Rename 11,net.publicspace.abfr11,https://macupdater-backend.com/files/casks_manual/a-better-finder-rename.rb
BetterDisplay,pro.betterdisplay.BetterDisplay,https://macupdater-backend.com/files/casks_manual/betterdisplay.rb
Binary Ninja,com.vector35.binaryninja,https://macupdater-backend.com/files/casks_manual/binary-ninja.rb
Brave Browser,com.brave.Browser,https://macupdater-backend.com/files/casks_manual/brave-browser.rb
BusyCal,com.busymac.busycal3,https://macupdater-backend.com/files/casks_manual/busycal.rb
;Carbon Copy Cloner,com.bombich.ccc,https://macupdater-backend.com/files/casks_manual/carbon-copy-cloner.rb
ChatGPT,com.lencx.chatgpt,https://macupdater-backend.com/files/casks_manual/lencx-chatgpt.rb
Cloudflare WARP,com.cloudflare.1dot1dot1dot1.macos,https://macupdater-backend.com/files/casks_manual/cloudflare-warp.rb
DaisyDisk,com.daisydiskapp.DaisyDiskStandAlone,https://macupdater-backend.com/files/casks_manual/daisydisk.rb
DEVONthink 3,com.devon-technologies.think3,https://macupdater-backend.com/files/casks_manual/devonthink.rb
Discord,com.hnc.Discord,https://macupdater-backend.com/files/casks_manual/discord.rb
Find Any File,org.tempel.findanyfile,https://macupdater-backend.com/files/casks_manual/find-any-file.rb
Fork,com.DanPristupov.Fork,https://macupdater-backend.com/files/casks_manual/fork.rb
ForkLift,com.binarynights.ForkLift,https://macupdater-backend.com/files/casks_manual/forklift.rb
Hazel,com.noodlesoft.Hazel,https://macupdater-backend.com/files/casks_manual/hazel.rb
Hopper Disassembler,com.cryptic-apps.hopper-web-4,https://macupdater.net/app_updates/appinfo/com.cryptic-apps.hopper-web-4full/index.html
Hovrly,com.treasy.hovrly,https://macupdater-backend.com/files/casks_manual//hovrly.rb
Little Snitch,at.obdev.littlesnitch,https://macupdater-backend.com/files/casks_manual/little-snitch.rb
Maccy,org.p0deje.Maccy,https://macupdater-backend.com/files/casks_manual/maccy.rb
Movist Pro,com.movist.MovistPro,https://macupdater-backend.com/files/casks_manual/movist-pro.rb
NeatDownloadManager,com.NeatDownloadManager,https://macupdater-backend.com/files/casks_manual/neatdownloadmanager.rb
Notion,notion.id,https://macupdater-backend.com/files/casks_manual/notion.rb
Numi,com.dmitrynikolaev.numi,https://macupdater-backend.com/files/casks_manual/numi.rb
PDF Expert,com.readdle.PDFExpert-Mac,https://macupdater-backend.com/files/casks_manual/pdf-expert.rb
Pictogram,com.NeilSardesai.Pictogram,https://macupdater-backend.com/files/casks_manual/pictogram.rb
Sloth,org.sveinbjorn.Sloth,https://macupdater-backend.com/files/casks_manual/sloth.rb
SoundSource,com.rogueamoeba.soundsource,https://macupdater-backend.com/files/casks_manual/soundsource.rb
Suspicious Package,com.mothersruin.SuspiciousPackageApp,https://macupdater-backend.com/files/casks_manual/suspicious-package.rb
Swish,co.highlyopinionated.swish,https://macupdater-backend.com/files/casks_manual/swish.rb
TG Pro,com.tunabellysoftware.tgpro,https://macupdater-backend.com/files/casks_manual/tg-pro.rb
Telegram,ru.keepcoder.Telegram,https://macupdater-backend.com/files/casks_manual/telegram.rb
Thorium,io.github.edrlab.thorium,https://macupdater-backend.com/files/casks_manual/thorium.rb
Topaz Photo AI,com.topazlabs.TopazPhotoAI,https://macupdater-backend.com/files/casks_manual/topaz-photo-ai.rb
Topaz Video AI,com.topazlabs.Topaz-Video-AI,https://macupdater-backend.com/files/casks_manual/topaz-video-ai.rb
Visual Studio Code,com.microsoft.VSCode,https://macupdater-backend.com/files/casks_manual/visual-studio-code.rb
WhatsApp,net.whatsapp.WhatsApp,https://macupdater-backend.com/files/casks_manual/whatsapp.rb
Wireshark,org.wireshark.Wireshark,https://macupdater-backend.com/files/casks_manual/wireshark.rb
anki,net.ankimacupdater.dtop,https://macupdater-backend.com/files/casks_manual/anki.rb
calibre - net.kovidgoyal.calibre,https://macupdater-backend.com/files/casks_manual/calibre.rb
espanso,com.federicoterzi.espanso,https://macupdater-backend.com/files/casks_manual/espanso.rb
insta360-studio-main,com.insta360.studio,https://macupdater-backend.com/files/casks_manual/insta360-studio.rb
kitty,net.kovidgoyal.kitty,https://macupdater-backend.com/files/casks_manual/kitty.rb
qbittorrent,org.qbittorrent.qBittorrent,https://macupdater-backend.com/files/casks_manual/qbittorrent.rb
zoom.us,us.zoom.xos,https://macupdater-backend.com/files/casks_manual/zoom.rb
